occupation,n
conseillã¨re pã©dagogique,1
conseiller en santã© et sã©curitã© du travail,1
conseiller en voyage,1
conseiller financier,1
conseillere amã©lioration processus,1
constable----works for the government,1
construction company owner,1
construction estimater,1
construction foreman,1
construction inspector,1
construction labor,1
construction manager,1
construction top man,1
construction trading laser,1
construction training coordinator,1
construction worker - residential,1
"construction worker. truck driver, musician",1
construction/ estimating,1
consultant - financial,1
consultant - unexploded bombs.,1
consultant a mon compte,1
consultant fiabiliste,1
consultant health professional,1
consultant human resources,1
consultant in oil & gaz,1
"consultant, retired from federal government.",1
consumer service technician,1
contract worker,1
contractor - construction - window,1
contractor renovator,1
contractor sales,1
contremaã®tre de production,1
controle in a construction company,1
contruction foreman,1
cook in a long term care facility for seniors,1
"cook, student",1
coordonnateur de production,1
coordonnatrice administration,1
coordonnatrice aux opã©rations,1
correctional officer,1
counselor,1
courrier,1
creative director,1
credit card associate,1
criminal investigator,1
cuisiniã¨re,1
cuisinier,1
custodial,1
custodial services,1
custodian,1
customer service manager,1
customer service rep,1
customer service representative at bank of nova scotia,1
customer services on the phone,1
customers service,1
cybersecurity analyst,1
dã©veloppement durable,1
dã©veloppeur logiciel,1
dã©veloppeur web,1
dairy farmer,1
dans le domaine de la santã©,1
dans le domaine de ladministration et medias sociaux,1
data analyst,1
database administrator,1
daycare educator,1
debt collection agent,1
deckhand,1
delivery driver,1
demographe,1
dental assistant with provincial government,1
dental hygienist,1
dental therapist,1
dentiste,1
department manager,1
dept of national defence,1
designer (manage) president of a company,1
designer industriel,1
diabetes educator,1
dietrist,1
digital media editor and statistician,1
directeur de commerce ã©lectronique,1
directeur des ventes,1
directeur general,1
directeur rã©gionale,1
directional driller,1
director ngo,1
director of community economic deveopment,1
director of health care company,1
director of operations,1
director research and innovation,1
directrice d'un dã©partement,1
directrice des achats,1
directrice des opã©rations accessoires auto,1
directrice en cpe,1
disability,1
disclosure facilitator - government,1
display carpenter,1
dock worker,1
doctor,1
doctor of medicine,1
doctoral candidate in medical science,1
driver for a trucking company,1
driving instructor,1
early childhood educator 12 weeks old to 12 years old.,1
ece,1
editor,1
education assistant.,1
educational assistant in a high school.,1
educational consultant,1
educatrice cpe,1
eeg/emg technologist,1
electrical contractor,1
electrican,1
electromã©canicienne,1
electronics,1
electronics technologist,1
emergency manager,1
employã© du gouvernement provincial,1
employã© municipal,1
employee of the federal government,1
engine inspector,1
engineering manager,1
engineering technologist,1
enseignant au collã©gial,1
enseignant secondaire,1
enseignante ã©ducation des adultes,1
enseignante au collã©gial,1
entrepreneur dans la construction,1
